order_id,product_id,order_date,quantity,price,seller_id,category,revenue,returned,shipping_days,customer_segment
O000001,P01823,2022-10-24,1,46.52,S0026,Food & Beverage,46.52,False,3,New
O000002,P00361,2022-10-29,3,160.46,S0150,Fashion,553.59,False,6,Returning
O000003,P01775,2023-03-05,2,134.86,S0061,Sports,269.72,True,7,New
O000004,P00446,2024-01-13,1,90.35,S0020,Art & Crafts,90.35,False,2,New
O000005,P00556,2023-11-16,1,19.3,S0081,Toys & Games,19.3,False,3,New
O000006,P00708,2023-12-16,2,110.55,S0115,Jewelry,309.54,False,10,VIP
O000007,P01731,2023-08-02,1,10.46,S0138,Food & Beverage,10.46,False,5,New
O000008,P01381,2022-09-30,1,38.88,S0092,Beauty,54.43,False,6,VIP
O000009,P01881,2023-02-28,3,11.97,S0021,Beauty,41.3,False,4,Returning
O000010,P00561,2022-08-10,2,63.48,S0143,Food & Beverage,126.96,False,5,New
O000011,P00997,2022-10-05,1,52.81,S0028,Toys & Games,60.73,False,7,Returning
O000012,P00059,2023-12-14,2,33.78,S0005,Home & Garden,67.56,False,3,New
O000013,P01668,2022-10-22,2,10.42,S0047,Fashion,23.97,True,7,Returning
O000014,P00885,2023-08-14,1,127.42,S0119,Electronics,146.53,False,3,Returning
O000015,P01191,2023-06-08,1,24.28,S0118,Jewelry,27.92,False,2,Returning
O000016,P01671,2023-01-19,3,52.56,S0045,Fashion,157.68,True,5,New
O000017,P00967,2023-08-20,2,8.3,S0012,Books,16.6,False,3,New
O000018,P00945,2023-02-12,1,41.73,S0135,Toys & Games,47.99,False,8,Returning
O000019,P01625,2023-03-11,2,32.26,S0020,Toys & Games,64.52,False,4,New
O000020,P01807,2023-11-25,1,22.58,S0135,Sports,25.97,False,4,Returning
O000021,P00263,2024-01-21,1,126.61,S0111,Fashion,145.6,False,8,Returning
O000022,P01455,2023-11-26,2,73.72,S0113,Home & Garden,147.44,False,2,New
O000023,P01652,2023-08-25,1,62.03,S0063,Home & Garden,71.33,False,7,Returning
O000024,P00196,2022-11-09,1,41.73,S0013,Sports,41.73,False,8,New
O000025,P00354,2023-11-19,1,77.55,S0017,Jewelry,77.55,False,3,New
O000026,P00886,2022-12-19,1,22.1,S0049,Food & Beverage,25.42,False,5,Returning
O000027,P00941,2023-06-18,1,44.02,S0131,Beauty,61.63,False,5,VIP
O000028,P01644,2024-01-10,1,80.21,S0132,Beauty,80.21,False,7,New
O000029,P01898,2023-05-03,2,4.59,S0134,Toys & Games,9.18,False,4,New
O000030,P00915,2023-11-25,1,13.23,S0106,Books,18.52,True,3,VIP
O000031,P00047,2023-11-25,1,95.18,S0008,Home & Garden,109.46,False,5,Returning
O000032,P00753,2023-02-17,1,42.65,S0074,Fashion,42.65,False,5,New
O000033,P01333,2022-11-30,3,47.84,S0150,Jewelry,143.52,False,5,New
O000034,P00230,2022-10-02,2,84.62,S0030,Fashion,194.63,False,4,Returning
O000035,P01435,2023-05-07,1,32.48,S0138,Art & Crafts,37.35,True,4,Returning
O000036,P01925,2023-08-05,1,41.31,S0125,Sports,57.83,False,6,VIP
O000037,P00757,2023-03-05,1,52.93,S0037,Fashion,60.87,False,2,Returning
O000038,P00316,2023-02-12,1,29.68,S0072,Beauty,41.55,False,3,VIP
O000039,P00762,2022-12-24,1,45.94,S0017,Electronics,52.83,False,8,Returning
O000040,P01101,2023-03-11,2,24.24,S0132,Toys & Games,48.48,False,3,New
O000041,P00062,2023-12-23,1,64.51,S0022,Food & Beverage,64.51,False,4,New
O000042,P01595,2022-09-04,1,87.55,S0104,Home & Garden,87.55,False,3,New
O000043,P00238,2023-09-20,2,11.53,S0089,Food & Beverage,23.06,False,7,New
O000044,P01725,2022-10-21,1,15.56,S0108,Toys & Games,17.89,True,12,Returning
O000045,P01592,2023-04-27,2,99.94,S0005,Home & Garden,229.86,False,2,Returning
O000046,P00078,2023-04-02,2,34.32,S0094,Sports,78.94,False,6,Returning
