product_id,seller_id,category,listing_date,quality_score,price
P00001,S0050,Toys & Games,2023-04-05,6.65388420050939,27.77
P00002,S0012,Books,2023-08-21,8.713378646395771,23.67
P00003,S0054,Sports,2023-08-06,8.860897201090062,32.73
P00004,S0133,Beauty,2023-06-14,7.673855665689247,37.95
P00005,S0057,Electronics,2023-09-01,7.990967221466439,27.59
P00006,S0145,Fashion,2022-12-27,6.045137166404754,28.07
P00007,S0112,Home & Garden,2023-01-11,6.225716289425525,59.35
P00008,S0047,Jewelry,2023-06-03,7.218935526733244,82.6
P00009,S0085,Jewelry,2023-07-19,7.641152878667699,45.57
P00010,S0142,Jewelry,2023-08-14,6.570488684613533,87.17
P00011,S0066,Art & Crafts,2022-11-15,6.978422176068437,52.79
P00012,S0075,Jewelry,2022-09-24,8.073951598762402,14.13
P00013,S0103,Fashion,2023-07-01,6.112763707706463,83.7
P00014,S0038,Electronics,2023-10-04,6.73876529516517,45.55
P00015,S0050,Jewelry,2022-10-14,7.011618445184659,102.4
P00016,S0098,Books,2022-10-09,7.120697348700647,43.15
P00017,S0082,Books,2022-11-25,7.957230313585554,5.53
P00018,S0030,Art & Crafts,2023-01-22,6.709691446861316,16.9
P00019,S0079,Fashion,2022-09-14,7.225368689349215,26.29
P00020,S0091,Electronics,2022-12-05,7.170750845581913,31.84
P00021,S0052,Home & Garden,2022-11-02,7.595232201307494,145.95
P00022,S0079,Sports,2023-08-25,7.280966586284425,21.69
P00023,S0030,Electronics,2023-09-04,6.518898342136152,38.22
P00024,S0106,Sports,2022-09-29,6.169297507169258,50.7
P00025,S0051,Beauty,2022-11-07,7.738543344079487,12.66
P00026,S0081,Sports,2023-05-24,7.449164765307803,31.37
P00027,S0133,Toys & Games,2023-07-11,7.000395871045571,34.15
P00028,S0029,Books,2023-06-02,8.18088550109204,12.69
P00029,S0132,Fashion,2023-02-28,7.402586684176768,30.73
P00030,S0138,Food & Beverage,2023-08-11,8.078081208404093,15.18
P00031,S0145,Art & Crafts,2023-04-03,6.7019512478521825,8.87
P00032,S0074,Toys & Games,2023-08-25,7.809307483297101,34.27
P00033,S0017,Sports,2023-01-10,6.787363771981226,175.27
P00034,S0084,Jewelry,2023-04-05,6.383746368809003,73.93
P00035,S0069,Fashion,2022-12-22,6.122433316287144,39.65
P00036,S0034,Toys & Games,2023-09-19,8.181832185654454,46.11
P00037,S0006,Art & Crafts,2023-08-05,7.978433366841172,10.8
P00038,S0053,Books,2023-08-24,7.333659409900526,64.64
P00039,S0126,Fashion,2023-08-12,6.0933696397985475,38.93
P00040,S0043,Art & Crafts,2022-10-11,7.559063363647866,109.96
P00041,S0115,Beauty,2022-12-09,7.005172013369449,18.42
P00042,S0111,Beauty,2023-04-19,7.6592876107058565,141.8
P00043,S0080,Art & Crafts,2022-11-30,7.407873334069031,55.41
P00044,S0095,Toys & Games,2022-08-28,8.39134707410161,41.24
P00045,S0118,Fashion,2022-08-24,6.8178544715133444,39.93
P00046,S0144,Toys & Games,2022-12-31,7.323939678901269,21.72
P00047,S0008,Home & Garden,2023-03-04,7.929709561626542,95.18
P00048,S0132,Sports,2022-08-27,7.261177394617087,48.17
P00049,S0104,Home & Garden,2023-08-19,7.399197812015474,7.55
P00050,S0132,Beauty,2023-09-04,6.37726449284815,13.55
P00051,S0025,Books,2023-01-21,7.015794832006762,14.27
P00052,S0096,Electronics,2022-09-15,7.0571684028748844,76.38
P00053,S0093,Sports,2023-02-05,8.121207696520322,41.14
P00054,S0061,Beauty,2023-07-23,7.471041411587162,87.81
P00055,S0122,Toys & Games,2022-11-21,8.327583247882888,5.56
P00056,S0051,Toys & Games,2022-11-16,7.726774191105145,29.72
P00057,S0147,Toys & Games,2022-11-06,7.94123258132743,6.19
P00058,S0021,Books,2023-09-27,7.500610312709029,30.41
P00059,S0005,Home & Garden,2023-06-04,7.788199072212318,33.78
P00060,S0092,Electronics,2023-10-26,8.339741868261086,83.39
P00061,S0061,Toys & Games,2023-07-06,6.110313181203571,13.27
P00062,S0022,Food & Beverage,2023-09-13,7.641283120708957,64.51
P00063,S0149,Sports,2022-10-26,6.0753947808453415,99.06
P00064,S0070,Fashion,2022-10-20,8.234339251390045,52.82
P00065,S0001,Food & Beverage,2023-10-05,7.084599951242158,20.9
P00066,S0133,Electronics,2023-10-08,6.296201597254255,94.79
P00067,S0012,Books,2023-01-31,8.992627625138153,9.41
P00068,S0090,Electronics,2023-09-08,6.016709408344277,118.18
P00069,S0046,Fashion,2022-11-12,6.8371980968680734,123.91
P00070,S0034,Sports,2023-07-19,8.161593659706952,101.38
P00071,S0078,Fashion,2022-11-19,7.428775124074585,18.47
P00072,S0045,Art & Crafts,2023-09-14,7.833286205387832,39.8
P00073,S0073,Sports,2023-03-20,7.4109933038692475,15.3
P00074,S0026,Electronics,2022-08-14,7.843558540509732,94.23
P00075,S0047,Toys & Games,2022-12-08,6.788682292701329,37.99
P00076,S0121,Electronics,2023-04-01,7.002568851053603,13.36
P00077,S0056,Electronics,2023-10-09,7.240318517471244,23.53
P00078,S0094,Sports,2022-12-02,7.569109089512079,34.32
P00079,S0107,Art & Crafts,2023-01-18,7.350259771688839,23.43
P00080,S0063,Electronics,2023-03-22,7.834896567792925,22.65
P00081,S0048,Food & Beverage,2023-03-26,7.96135802305678,31.64
P00082,S0061,Beauty,2023-02-06,7.0437245906643575,40.5
P00083,S0081,Jewelry,2023-04-14,7.148352391188625,62.37
P00084,S0026,Jewelry,2023-06-22,6.884032501935898,39.8
P00085,S0036,Electronics,2023-03-06,8.679996446487886,137.93
P00086,S0001,Food & Beverage,2022-12-30,7.449825493248879,87.15
P00087,S0008,Toys & Games,2023-09-04,8.78952397402499,17.99
P00088,S0113,Books,2023-07-19,7.235114498241873,10.15
P00089,S0099,Books,2022-11-12,7.980445069230148,24.53
P00090,S0047,Sports,2023-08-25,6.418813427899867,32.33
P00091,S0127,Jewelry,2023-07-20,7.023559752573284,65.17
P00092,S0056,Electronics,2023-04-09,8.994845878107109,107.72
P00093,S0014,Books,2022-11-02,6.562147770890226,3.59
P00094,S0028,Electronics,2023-09-27,7.83603890502512,171.13
P00095,S0078,Sports,2023-09-06,6.35336462835261,45.63
P00096,S0130,Jewelry,2023-02-08,7.660457064398283,52.42
P00097,S0109,Fashion,2022-12-07,7.808069972909118,30.83
P00098,S0014,Beauty,2023-07-06,6.640362334856877,32.13
P00099,S0056,Beauty,2022-11-08,8.340507952088718,8.29
P00100,S0115,Books,2022-10-17,6.875807177596833,54.75
P00101,S0007,Beauty,2023-09-16,7.249590797437451,34.23
P00102,S0003,Fashion,2022-12-19,7.172900703635021,47.2
P00103,S0111,Electronics,2023-05-14,6.422416517175903,127.62
P00104,S0107,Sports,2022-12-23,6.626364101407271,19.02
P00105,S0018,Fashion,2023-06-18,6.8576821370155985,48.37
P00106,S0038,Sports,2023-02-11,7.803832215675765,34.75
P00107,S0115,Sports,2023-03-17,7.294373772634257,84.76
P00108,S0015,Jewelry,2023-10-20,6.490558609948735,13.29
P00109,S0119,Electronics,2022-09-23,7.896815682031866,55.06
P00110,S0028,Food & Beverage,2023-05-13,7.141072333612991,14.31
P00111,S0039,Beauty,2023-02-16,7.988838507626652,46.8
P00112,S0017,Food & Beverage,2022-08-16,7.942439823770989,33.76
P00113,S0086,Jewelry,2023-08-22,6.876067313395294,41.36
P00114,S0126,Sports,2023-05-11,7.72206679994448,24.35
P00115,S0044,Books,2023-02-03,8.131726147119238,15.15
P00116,S0025,Beauty,2023-07-08,6.314471330188467,16.16
P00117,S0145,Beauty,2022-09-16,7.381245484162683,64.95
P00118,S0013,Electronics,2023-05-28,8.02686899425164,44.36
P00119,S0025,Art & Crafts,2023-02-02,7.301213046504207,2.91
P00120,S0068,Home & Garden,2023-01-17,8.77937482514333,26.99
P00121,S0138,Home & Garden,2023-07-05,7.380869141312092,15.87
P00122,S0067,Home & Garden,2023-08-17,7.802355246434711,9.88
P00123,S0109,Art & Crafts,2022-11-20,7.50133802856331,11.08
P00124,S0146,Electronics,2023-01-16,6.977209851755969,65.06
P00125,S0111,Art & Crafts,2023-05-22,7.206444271315927,86.28
P00126,S0111,Home & Garden,2022-12-09,6.651162265038023,46.8
P00127,S0034,Jewelry,2022-10-01,8.967194599477548,44.85
P00128,S0111,Fashion,2023-10-10,7.334702326100792,47.69
P00129,S0008,Sports,2022-09-11,7.08769370499326,29.82
P00130,S0113,Art & Crafts,2023-04-07,7.653243811496018,17.1
P00131,S0083,Electronics,2023-08-21,7.246628867518115,23.67
P00132,S0042,Electronics,2022-11-29,6.11266655559848,14.68
P00133,S0101,Food & Beverage,2023-06-22,6.047768382638285,16.97
P00134,S0006,Fashion,2022-08-31,6.900048479055605,37.58
P00135,S0026,Books,2022-09-23,7.16538035938534,15.33
P00136,S0064,Beauty,2023-06-16,6.876597216066331,23.74
P00137,S0059,Home & Garden,2022-12-21,6.5253866197600106,17.09
P00138,S0109,Books,2022-12-04,6.329435493885962,26.94
P00139,S0121,Food & Beverage,2023-02-13,8.378286713960676,8.08
P00140,S0033,Home & Garden,2022-12-17,7.029142232535601,67.77
P00141,S0150,Fashion,2023-10-04,6.400308422498734,14.85
P00142,S0021,Food & Beverage,2023-03-08,7.139178852519997,12.7
P00143,S0070,Home & Garden,2023-09-30,8.683615815326652,11.27
P00144,S0112,Fashion,2022-11-29,6.144458696544955,22.17
P00145,S0004,Toys & Games,2022-09-21,6.794906018532359,57.81
P00146,S0094,Books,2022-12-14,6.64649120821478,25.01
P00147,S0075,Books,2023-08-07,8.124634665428237,36.22
P00148,S0062,Beauty,2023-01-13,7.504818466424019,50.29
P00149,S0094,Fashion,2023-05-08,8.006625863758515,13.7
P00150,S0095,Art & Crafts,2023-06-19,7.932650686952056,22.87
P00151,S0055,Toys & Games,2023-09-06,7.838770847339738,14.19
P00152,S0137,Jewelry,2023-07-29,7.45398383075635,211.22
P00153,S0131,Home & Garden,2023-07-14,7.28455632701423,13.98
P00154,S0031,Toys & Games,2023-09-14,6.5767231095759495,54.15
P00155,S0040,Fashion,2022-09-22,7.242928845313569,67.65
P00156,S0036,Sports,2022-11-24,8.555755411073754,186.06
P00157,S0006,Home & Garden,2023-03-15,7.00071672076878,26.25
P00158,S0066,Electronics,2023-10-25,7.215026656854474,105.39
P00159,S0075,Books,2023-06-22,7.054853469601959,102.74
P00160,S0004,Fashion,2023-06-19,7.785604100324165,20.2
P00161,S0079,Electronics,2023-02-01,7.3856023972598175,17.46
P00162,S0134,Beauty,2023-03-24,7.741935199725085,7.36
P00163,S0118,Food & Beverage,2023-02-15,6.684668164921981,41.0
P00164,S0113,Jewelry,2023-01-15,8.53954461477117,16.15
P00165,S0094,Jewelry,2023-09-06,7.622711648378676,54.09
P00166,S0062,Electronics,2023-05-02,7.7656729813561585,84.57
P00167,S0079,Books,2023-08-01,7.055624216591242,19.2
P00168,S0136,Beauty,2023-06-30,7.035259656795935,46.54
P00169,S0026,Sports,2023-08-22,7.655754162881818,51.43
P00170,S0044,Books,2023-02-14,8.498630710284868,46.06
P00171,S0133,Toys & Games,2023-01-30,7.929380957656922,12.37
P00172,S0070,Jewelry,2023-05-25,7.647126708431531,42.39
P00173,S0118,Toys & Games,2023-07-31,6.1068692047820345,14.28
P00174,S0068,Home & Garden,2022-12-31,8.875100674814677,70.77
P00175,S0019,Art & Crafts,2023-03-28,7.059751251036412,61.25
P00176,S0020,Fashion,2023-08-03,7.229806029133872,47.51
P00177,S0113,Beauty,2023-10-20,7.964847203189458,85.35
P00178,S0140,Books,2023-02-28,7.687314905214949,6.45
P00179,S0047,Jewelry,2023-03-09,7.536178756837333,276.51
P00180,S0001,Toys & Games,2022-09-17,7.494449290177174,89.61
P00181,S0090,Food & Beverage,2023-05-10,6.623406642985624,41.76
P00182,S0142,Home & Garden,2023-06-27,6.612478490456801,151.52
P00183,S0064,Fashion,2022-10-29,7.6756827618110375,8.8
P00184,S0038,Fashion,2023-02-05,6.1447145154826535,21.77
P00185,S0037,Books,2023-06-24,7.762210296713132,9.19
P00186,S0126,Beauty,2022-10-30,6.513323379791829,58.98
P00187,S0139,Sports,2023-06-07,7.185969495510988,18.58
P00188,S0100,Food & Beverage,2023-04-27,7.871988358003556,42.49
P00189,S0077,Books,2023-05-07,7.856245003073293,49.56
P00190,S0003,Toys & Games,2023-02-24,7.328859624934073,46.2
P00191,S0134,Art & Crafts,2023-04-05,7.379068417810831,37.4
P00192,S0010,Electronics,2023-09-14,7.187959272632741,27.04
P00193,S0005,Sports,2023-02-04,6.554516832698372,21.86
P00194,S0138,Beauty,2023-10-14,8.49336655586936,89.99
P00195,S0130,Home & Garden,2023-01-26,8.001580462359575,67.95
P00196,S0013,Sports,2023-05-30,8.289439954763635,41.73
P00197,S0130,Jewelry,2023-02-01,7.210579286438637,52.15
P00198,S0084,Beauty,2023-08-12,6.0983216583100965,6.55
P00199,S0065,Art & Crafts,2023-09-08,6.062113752070311,12.65
P00200,S0063,Jewelry,2023-04-02,8.108362510897598,336.16
P00201,S0101,Sports,2022-12-24,7.524065442078102,15.46
P00202,S0073,Electronics,2023-07-01,7.07475838088771,69.36
P00203,S0017,Electronics,2023-08-09,7.681570143878229,133.45
P00204,S0009,Art & Crafts,2023-06-15,6.566853066186443,10.92
P00205,S0143,Fashion,2022-12-15,6.73350415285188,38.39
P00206,S0038,Food & Beverage,2022-09-26,6.474140782348356,49.09
