review_id,order_id,product_id,seller_id,category,rating,review_date,seller_response_days,has_seller_response,helpful_votes
R000001,O006253,P01374,S0025,Beauty,5.0,2023-05-13,12,False,16.0
R000002,O004685,P00196,S0013,Sports,5.0,2023-01-13,2,True,13.0
R000003,O001732,P00741,S0077,Food & Beverage,5.0,2023-05-01,10,False,10.0
R000004,O004743,P01881,S0021,Beauty,5.0,2023-08-11,8,False,11.0
R000005,O004522,P00901,S0084,Electronics,5.0,2023-12-27,13,False,13.0
R000006,O006341,P00004,S0133,Beauty,5.0,2023-02-05,8,False,13.0
R000007,O000577,P00596,S0004,Beauty,5.0,2023-03-17,7,True,13.0
R000008,O005203,P00405,S0093,Home & Garden,5.0,2023-10-10,11,False,13.0
R000009,O006364,P01642,S0080,Food & Beverage,5.0,2023-05-28,14,False,12.0
R000010,O000440,P01130,S0003,Fashion,5.0,2022-12-24,5,True,11.0
R000011,O002751,P01063,S0008,Electronics,5.0,2023-04-25,5,True,12.0
R000012,O007488,P01249,S0068,Beauty,5.0,2023-12-09,4,True,14.0
R000013,O005273,P00600,S0108,Beauty,5.0,2022-12-08,7,True,11.0
R000014,O005654,P00706,S0062,Home & Garden,5.0,2023-06-30,10,False,14.0
R000015,O004000,P01809,S0020,Beauty,4.0,2022-10-11,13,False,12.0
R000016,O006034,P01518,S0114,Jewelry,5.0,2024-01-24,8,False,14.0
R000017,O000583,P01078,S0072,Sports,5.0,2023-11-03,13,False,11.0
R000018,O009931,P00692,S0139,Books,5.0,2023-07-27,13,False,13.0
R000019,O007052,P01205,S0026,Art & Crafts,5.0,2023-03-26,9,False,13.0
R000020,O008159,P01952,S0098,Art & Crafts,5.0,2022-09-01,10,False,12.0
R000021,O009897,P00950,S0148,Fashion,5.0,2022-10-05,7,True,12.0
R000022,O002250,P01839,S0008,Food & Beverage,5.0,2023-02-13,8,False,11.0
R000023,O004641,P01862,S0008,Sports,5.0,2023-10-17,4,True,11.0
R000024,O009486,P01502,S0138,Jewelry,5.0,2023-03-23,7,True,14.0
R000025,O004948,P00575,S0117,Toys & Games,5.0,2022-10-18,4,True,15.0
R000026,O009921,P01969,S0150,Fashion,5.0,2023-10-21,14,False,11.0
R000027,O001964,P00653,S0107,Toys & Games,5.0,2023-11-20,10,False,14.0
R000028,O008244,P00384,S0018,Home & Garden,5.0,2023-07-24,11,False,13.0
R000029,O006591,P01444,S0052,Jewelry,5.0,2023-03-03,7,True,13.0
R000030,O008848,P00861,S0011,Books,4.0,2023-10-31,13,False,11.0
R000031,O000322,P01429,S0133,Beauty,4.0,2022-11-14,13,False,11.0
R000032,O002679,P01200,S0119,Fashion,5.0,2024-01-01,3,True,10.0
R000033,O004626,P01119,S0147,Beauty,5.0,2023-10-25,6,True,15.0
R000034,O004950,P01278,S0130,Electronics,5.0,2023-06-10,5,True,15.0
R000035,O008329,P00789,S0119,Jewelry,5.0,2023-11-19,2,True,12.0
R000036,O003338,P01934,S0067,Jewelry,5.0,2023-09-16,14,False,11.0
R000037,O005590,P00964,S0039,Sports,5.0,2023-02-21,7,True,13.0
R000038,O000252,P00359,S0029,Sports,4.0,2023-03-10,7,True,13.0
R000039,O003974,P00685,S0029,Home & Garden,5.0,2023-02-16,7,True,12.0
R000040,O006631,P01688,S0050,Sports,5.0,2023-02-07,8,False,14.0
R000041,O005548,P00293,S0069,Art & Crafts,5.0,2023-07-19,12,False,13.0
R000042,O000036,P01925,S0125,Sports,5.0,2023-08-11,14,False,13.0
R000043,O008363,P01892,S0025,Electronics,5.0,2024-01-13,8,False,13.0
R000044,O001514,P00358,S0088,Fashion,5.0,2023-09-18,7,True,11.0
R000045,O009318,P00839,S0084,Jewelry,5.0,2022-12-30,11,False,12.0
R000046,O000040,P01101,S0132,Toys & Games,5.0,2023-04-04,9,False,10.0
R000047,O004820,P00816,S0018,Food & Beverage,5.0,2023-04-30,8,False,14.0
R000048,O003466,P01787,S0002,Sports,5.0,2023-05-27,0,True,13.0
R000049,O001761,P00330,S0101,Fashion,5.0,2023-03-18,13,False,13.0
R000050,O002305,P01166,S0117,Food & Beverage,5.0,2023-12-23,8,False,11.0
R000051,O003724,P00143,S0070,Home & Garden,5.0,2022-10-25,4,True,12.0
R000052,O008285,P00732,S0058,Food & Beverage,5.0,2024-02-04,11,False,15.0
R000053,O004994,P00517,S0111,Books,5.0,2023-10-13,13,False,15.0
R000054,O008128,P00805,S0006,Beauty,3.0,2023-03-19,11,False,7.0
R000055,O003033,P00971,S0021,Sports,5.0,2023-11-12,6,True,13.0
R000056,O007939,P00240,S0089,Fashion,5.0,2022-10-22,2,True,13.0
R000057,O003040,P01399,S0011,Sports,5.0,2022-11-09,14,False,13.0
R000058,O009656,P01061,S0085,Food & Beverage,5.0,2023-06-22,12,False,17.0
R000059,O002546,P01671,S0045,Fashion,5.0,2023-11-03,8,False,12.0
R000060,O002593,P00699,S0037,Toys & Games,5.0,2023-07-14,8,False,13.0
R000061,O001189,P00733,S0031,Sports,5.0,2023-05-24,9,False,12.0
R000062,O007967,P01829,S0042,Electronics,5.0,2023-02-07,9,False,14.0
R000063,O006078,P01914,S0023,Fashion,5.0,2023-01-31,14,False,12.0
R000064,O000108,P01224,S0069,Electronics,5.0,2022-08-15,10,False,15.0
R000065,O001316,P00280,S0015,Sports,5.0,2023-08-25,11,False,15.0
R000066,O008188,P00975,S0008,Beauty,5.0,2022-12-21,7,True,13.0
R000067,O002754,P01848,S0042,Books,4.0,2022-10-11,8,False,9.0
R000068,O009754,P01225,S0049,Electronics,5.0,2022-11-14,9,False,13.0
R000069,O006232,P01579,S0030,Beauty,5.0,2024-01-07,13,False,12.0
R000070,O002877,P00336,S0063,Art & Crafts,5.0,2023-05-12,4,True,15.0
R000071,O005324,P01348,S0073,Home & Garden,5.0,2023-11-09,13,False,13.0
R000072,O000800,P01481,S0087,Fashion,5.0,2023-05-17,10,False,13.0
R000073,O003571,P00059,S0005,Home & Garden,5.0,2023-11-09,13,False,14.0
R000074,O002895,P00790,S0029,Sports,5.0,2022-12-21,5,True,15.0
R000075,O002928,P01260,S0123,Food & Beverage,5.0,2023-01-07,11,False,15.0
R000076,O008179,P00281,S0136,Toys & Games,5.0,2023-12-27,11,False,12.0
R000077,O000972,P01708,S0070,Electronics,5.0,2024-01-24,0,True,12.0
R000078,O006688,P00367,S0148,Sports,5.0,2023-06-05,5,True,12.0
R000079,O008576,P01370,S0141,Books,5.0,2023-01-23,2,True,13.0
R000080,O002021,P01882,S0013,Beauty,5.0,2023-03-03,5,True,13.0
R000081,O009055,P00179,S0047,Jewelry,5.0,2024-02-12,12,False,12.0
R000082,O000953,P00875,S0033,Jewelry,5.0,2024-01-21,8,False,15.0
R000083,O005360,P01973,S0019,Toys & Games,5.0,2022-10-13,12,False,11.0
R000084,O003858,P00749,S0098,Electronics,5.0,2023-12-30,10,False,13.0
R000085,O005862,P00650,S0117,Electronics,5.0,2023-06-04,2,True,13.0
R000086,O003146,P00102,S0003,Fashion,5.0,2022-09-22,6,True,12.0
R000087,O003306,P00635,S0039,Toys & Games,5.0,2022-12-12,10,False,12.0
R000088,O003007,P00324,S0029,Fashion,5.0,2023-01-19,6,True,13.0
R000089,O009002,P01024,S0049,Jewelry,5.0,2022-09-12,9,False,13.0
R000090,O007771,P00552,S0080,Jewelry,5.0,2023-12-03,8,False,13.0
R000091,O007439,P01773,S0081,Books,5.0,2023-09-23,6,True,13.0
R000092,O007943,P01314,S0121,Books,5.0,2023-06-02,5,True,11.0
R000093,O009239,P00792,S0116,Jewelry,5.0,2024-01-16,4,True,10.0
R000094,O001057,P01364,S0080,Books,5.0,2024-01-09,8,False,12.0
R000095,O003155,P00133,S0101,Food & Beverage,5.0,2023-09-23,13,False,17.0
R000096,O003788,P01730,S0120,Sports,5.0,2023-06-22,6,True,13.0
R000097,O009190,P01638,S0071,Beauty,5.0,2023-10-10,9,False,14.0
R000098,O007826,P00949,S0024,Sports,5.0,2022-09-23,9,False,14.0
R000099,O007540,P00343,S0057,Toys & Games,5.0,2023-02-19,12,False,14.0
R000100,O007232,P01214,S0091,Books,5.0,2023-10-18,9,False,12.0
R000101,O000765,P00118,S0013,Electronics,5.0,2023-08-06,4,True,13.0
R000102,O005020,P00839,S0084,Jewelry,5.0,2023-10-03,13,False,18.0
R000103,O004904,P01709,S0090,Jewelry,5.0,2023-12-07,8,False,12.0
R000104,O008094,P01296,S0144,Electronics,4.0,2023-03-11,11,False,8.0
R000105,O006844,P01874,S0046,Food & Beverage,5.0,2023-01-05,10,False,14.0
R000106,O002166,P00327,S0011,Fashion,5.0,2023-05-18,10,False,11.0
R000107,O001863,P00393,S0008,Fashion,5.0,2022-08-23,7,True,10.0
R000108,O007851,P00863,S0041,Beauty,5.0,2023-08-13,11,False,12.0
R000109,O009124,P00744,S0013,Toys & Games,5.0,2023-09-21,6,True,11.0
R000110,O002341,P01081,S0033,Home & Garden,5.0,2023-08-01,10,False,13.0
R000111,O005528,P00739,S0100,Books,5.0,2023-09-30,11,False,12.0
R000112,O006744,P00997,S0028,Toys & Games,5.0,2023-03-03,8,False,12.0
R000113,O004004,P00646,S0148,Jewelry,5.0,2022-08-20,10,False,11.0
R000114,O001124,P01731,S0138,Food & Beverage,5.0,2023-09-03,6,True,16.0
R000115,O008710,P01879,S0109,Beauty,5.0,2022-10-07,12,False,13.0
R000116,O004050,P00383,S0019,Fashion,5.0,2023-07-18,13,False,16.0
R000117,O007641,P01750,S0149,Jewelry,5.0,2022-12-10,13,False,11.0
R000118,O000766,P00688,S0009,Art & Crafts,5.0,2023-06-19,9,False,12.0
R000119,O002345,P00318,S0106,Art & Crafts,5.0,2023-07-05,9,False,11.0
R000120,O004072,P00277,S0141,Electronics,5.0,2023-04-20,6,True,12.0
R000121,O007217,P01926,S0016,Beauty,5.0,2023-09-06,12,False,13.0
R000122,O004217,P01991,S0142,Beauty,5.0,2023-12-13,14,False,14.0
R000123,O007953,P01531,S0011,Sports,5.0,2023-02-13,10,False,14.0
R000124,O005971,P01689,S0003,Books,5.0,2023-04-06,11,False,15.0
R000125,O003351,P01722,S0031,Art & Crafts,5.0,2023-05-13,9,False,11.0
R000126,O004696,P00081,S0048,Food & Beverage,5.0,2023-06-20,10,False,14.0
R000127,O003400,P01824,S0113,Electronics,5.0,2023-09-10,3,True,15.0
R000128,O004082,P00473,S0070,Books,5.0,2024-02-11,0,True,11.0
R000129,O009150,P01528,S0032,Beauty,5.0,2022-09-07,8,False,14.0
R000130,O001225,P00494,S0053,Sports,5.0,2022-12-24,8,False,13.0
R000131,O006293,P00034,S0084,Jewelry,5.0,2022-11-07,9,False,11.0
R000132,O003123,P01372,S0136,Food & Beverage,5.0,2023-06-30,13,False,11.0
R000133,O000511,P01605,S0013,Jewelry,5.0,2023-02-13,4,True,12.0
R000134,O005795,P00924,S0147,Electronics,5.0,2024-01-29,8,False,12.0
R000135,O008182,P00138,S0109,Books,5.0,2023-05-28,11,False,13.0
R000136,O009418,P00569,S0145,Food & Beverage,5.0,2022-12-29,9,False,17.0
R000137,O000097,P01845,S0047,Home & Garden,5.0,2022-10-18,8,False,12.0
R000138,O006682,P00713,S0040,Food & Beverage,5.0,2022-09-25,14,False,11.0
R000139,O001513,P01319,S0032,Electronics,5.0,2023-06-27,10,False,13.0
R000140,O008792,P00957,S0096,Fashion,5.0,2023-10-05,11,False,13.0
R000141,O000120,P01702,S0064,Sports,5.0,2023-12-04,12,False,16.0
R000142,O007792,P01330,S0067,Home & Garden,5.0,2023-10-21,12,False,11.0
R000143,O006518,P00025,S0051,Beauty,5.0,2024-02-03,0,True,12.0
R000144,O000034,P00230,S0030,Fashion,5.0,2022-10-18,8,False,13.0
R000145,O007888,P00251,S0063,Jewelry,4.0,2022-12-21,4,True,9.0
R000146,O006831,P00147,S0075,Books,5.0,2022-12-17,5,True,13.0
R000147,O005422,P01696,S0051,Toys & Games,5.0,2023-12-31,5,True,15.0
R000148,O001069,P01058,S0124,Toys & Games,5.0,2023-12-10,8,False,13.0
R000149,O001348,P01005,S0118,Beauty,5.0,2023-09-23,8,False,13.0
R000150,O004748,P00427,S0007,Books,5.0,2023-10-14,12,False,14.0
R000151,O006006,P01939,S0021,Fashion,4.0,2023-01-13,11,False,13.0
R000152,O006040,P01412,S0004,Electronics,5.0,2023-10-26,7,True,14.0
R000153,O003818,P00295,S0011,Fashion,5.0,2022-11-08,11,False,17.0
R000154,O008447,P01762,S0147,Art & Crafts,5.0,2023-05-02,8,False,15.0
R000155,O005270,P01080,S0046,Art & Crafts,5.0,2023-06-04,8,False,14.0
R000156,O006898,P01976,S0063,Toys & Games,5.0,2023-06-30,2,True,13.0
R000157,O005310,P01729,S0014,Electronics,5.0,2023-08-02,14,False,13.0
R000158,O000032,P00753,S0074,Fashion,5.0,2023-02-22,7,True,15.0
R000159,O005675,P01823,S0026,Food & Beverage,3.0,2023-03-03,10,False,8.0
R000160,O004387,P01127,S0110,Home & Garden,5.0,2022-09-28,9,False,12.0
R000161,O000030,P00915,S0106,Books,5.0,2023-12-20,13,False,16.0
R000162,O004203,P01781,S0098,Beauty,5.0,2023-12-02,10,False,13.0
R000163,O007508,P01460,S0129,Toys & Games,5.0,2024-01-04,9,False,14.0
R000164,O000736,P01702,S0064,Sports,5.0,2023-03-31,14,False,11.0
R000165,O002068,P01760,S0087,Jewelry,5.0,2023-08-17,8,False,14.0
R000166,O000107,P01402,S0137,Home & Garden,4.0,2022-11-05,11,False,10.0
R000167,O009645,P01851,S0130,Beauty,5.0,2023-11-27,9,False,14.0
