seller_id,seller_name,tier,join_date,country,verified,tenure_days
S0001,Seller_1,bronze,2023-03-21,US,True,316
S0002,Seller_2,platinum,2023-08-28,US,True,156
S0003,Seller_3,silver,2022-12-12,US,True,415
S0004,Seller_4,silver,2022-12-16,UK,True,411
S0005,Seller_5,bronze,2022-09-30,US,True,488
S0006,Seller_6,bronze,2023-01-27,US,True,369
S0007,Seller_7,bronze,2023-03-14,CA,True,323
S0008,Seller_8,gold,2023-01-15,AU,False,381
S0009,Seller_9,silver,2023-02-22,US,False,343
S0010,Seller_10,silver,2023-04-12,US,True,294
S0011,Seller_11,bronze,2023-06-28,UK,False,217
S0012,Seller_12,platinum,2023-02-27,US,True,338
S0013,Seller_13,gold,2023-02-08,US,True,357
S0014,Seller_14,bronze,2022-12-09,US,True,418
S0015,Seller_15,bronze,2023-04-20,US,True,286
S0016,Seller_16,bronze,2023-05-29,CA,True,247
S0017,Seller_17,bronze,2023-05-15,US,True,261
S0018,Seller_18,silver,2023-06-29,CA,True,216
S0019,Seller_19,bronze,2023-08-15,UK,True,169
S0020,Seller_20,bronze,2022-11-14,US,False,443
S0021,Seller_21,silver,2023-02-22,US,False,343
S0022,Seller_22,bronze,2023-09-07,US,True,146
S0023,Seller_23,bronze,2023-04-05,UK,False,301
S0024,Seller_24,bronze,2022-12-30,US,False,397
S0025,Seller_25,bronze,2022-11-13,US,False,444
S0026,Seller_26,silver,2023-02-25,UK,True,340
S0027,Seller_27,bronze,2022-12-10,US,False,417
S0028,Seller_28,silver,2023-02-11,US,True,354
S0029,Seller_29,silver,2023-06-30,US,False,215
S0030,Seller_30,bronze,2023-07-23,US,False,192
S0031,Seller_31,silver,2023-04-24,AU,True,282
S0032,Seller_32,bronze,2023-01-03,US,False,393
S0033,Seller_33,bronze,2023-04-17,UK,False,289
S0034,Seller_34,gold,2023-07-20,US,False,195
S0035,Seller_35,platinum,2023-01-02,UK,True,394
S0036,Seller_36,gold,2023-01-03,US,True,393
S0037,Seller_37,bronze,2023-07-26,US,True,189
S0038,Seller_38,bronze,2023-02-23,DE,False,342
S0039,Seller_39,silver,2023-06-12,CA,True,233
S0040,Seller_40,bronze,2022-12-14,AU,True,413
S0041,Seller_41,bronze,2022-09-16,US,True,502
S0042,Seller_42,bronze,2023-07-12,US,True,203
S0043,Seller_43,bronze,2023-08-03,US,False,181
S0044,Seller_44,gold,2022-12-15,UK,False,412
S0045,Seller_45,bronze,2023-05-02,US,True,274
S0046,Seller_46,silver,2023-01-06,CA,False,390
S0047,Seller_47,bronze,2023-06-02,US,True,243
S0048,Seller_48,silver,2022-11-15,DE,True,442
S0049,Seller_49,silver,2023-04-28,UK,False,278
S0050,Seller_50,bronze,2023-04-17,CA,True,289
S0051,Seller_51,platinum,2022-12-30,US,True,397
S0052,Seller_52,silver,2023-07-20,US,False,195
S0053,Seller_53,gold,2022-11-28,UK,True,429
S0054,Seller_54,gold,2022-10-07,US,True,481
S0055,Seller_55,silver,2023-08-12,US,True,172
S0056,Seller_56,gold,2022-08-10,DE,True,539
S0057,Seller_57,bronze,2023-08-28,CA,True,156
S0058,Seller_58,bronze,2023-06-08,US,True,237
S0059,Seller_59,bronze,2023-04-19,US,False,287
S0060,Seller_60,bronze,2022-12-26,US,False,401
S0061,Seller_61,bronze,2022-09-14,CA,False,504
S0062,Seller_62,bronze,2023-01-15,US,False,381
S0063,Seller_63,gold,2022-08-17,US,True,532
S0064,Seller_64,bronze,2023-03-29,US,True,308
S0065,Seller_65,bronze,2022-11-15,US,True,442
S0066,Seller_66,silver,2023-01-02,UK,True,394
S0067,Seller_67,bronze,2023-06-08,US,True,237
S0068,Seller_68,gold,2023-03-04,AU,True,333
S0069,Seller_69,bronze,2022-12-17,US,True,410
S0070,Seller_70,platinum,2023-01-07,US,False,389
S0071,Seller_71,silver,2022-10-01,US,False,487
